round,number 1,number 2,number 3,number 4,number 5,number 6
997,4,7,14,16,24,44
998,13,17,18,20,42,45
999,1,3,9,14,18,28
1000,2,8,19,22,32,42
1001,6,10,12,14,20,42
1002,17,25,33,35,38,45
1003,1,4,29,39,43,45
1004,7,15,30,37,39,44
1005,8,13,18,24,27,29
1006,8,11,15,16,17,37
1007,8,11,16,19,21,25
1008,9,11,30,31,41,44
1009,15,23,29,34,40,44
1010,9,12,15,25,34,36
1011,1,9,12,26,35,38
1012,5,11,18,20,35,45
1013,21,22,26,34,36,41
1014,3,11,14,18,26,27
1015,14,23,31,33,37,40
1016,15,26,28,34,41,42
1017,12,18,22,23,30,34
1018,3,19,21,25,37,45
1019,1,4,13,17,34,39
1020,12,27,29,38,41,45
1021,12,15,17,24,29,45
1022,5,6,11,29,42,45
1023,10,14,16,18,29,35
1024,9,18,20,22,38,44
1025,8,9,20,25,29,33
1026,5,12,13,31,32,41
1027,14,16,27,35,39,45
1028,5,7,12,13,18,35
1029,12,30,32,37,39,41
1030,2,5,11,17,24,29
1031,6,7,22,32,35,36
1032,1,6,12,19,36,42
1033,3,11,15,20,35,44
1034,26,31,32,33,38,40
1035,9,14,34,35,41,42
1036,2,5,22,32,34,45
1037,2,14,15,22,27,33
1038,7,16,24,27,37,44
1039,2,3,6,19,36,39
1040,8,16,26,29,31,36
1041,6,7,9,11,17,18
1042,5,14,15,23,34,43
1043,3,5,12,22,26,31
1044,12,17,20,26,28,36
1045,6,14,15,19,21,41
1046,7,16,25,29,35,36
1047,2,20,33,40,42,44
1048,6,12,17,21,32,39
1049,3,5,13,20,21,37
1050,6,12,31,35,38,43
1051,21,26,30,32,33,35
1052,5,17,26,27,35,38
1053,22,26,29,30,34,45
1054,14,19,27,28,30,45
1055,4,7,12,14,22,33
1056,13,20,24,32,36,45
1057,8,13,19,27,40,45
1058,11,23,25,30,32,40
1059,7,10,22,25,34,40
1060,3,10,24,33,38,45
1061,4,24,27,35,37,45
1062,20,31,32,40,41,45
1063,3,6,22,23,24,38
1064,3,6,9,18,22,35
